request_time	start_time	cash_no	card	shoppingsize	queuelen	taken_time	user_login
2012-03-17 23:36:20	2012-3-17 22:35:59	1	0	1	0	1	sdk
2012-03-18 00:02:55	2012-3-18 0:1:36	1	1	1	0	10	HTC Vision
2012-03-18 00:29:12	2012-3-18 0:29:9	8	0	1	0	3	GT-I9100
2012-03-18 00:29:30	2012-3-18 0:29:26	1	1	2	3	1	GT-I9100
2012-03-18 00:29:30	2012-3-18 0:29:25	1	1	2	4	23	GT-I9100
2012-03-18 00:29:30	2012-3-18 0:29:26	1	1	2	2	0	GT-I9100
2012-03-18 00:29:32	2012-3-18 0:29:31	2	1	2	1	28	GT-I9100
2012-03-18 00:29:32	2012-3-18 0:29:31	1	1	2	1	0	GT-I9100
2012-03-18 00:29:33	2012-3-18 0:29:32	3	1	2	0	29	GT-I9100
2012-03-18 00:29:34	2012-3-18 0:29:33	4	1	1	0	30	GT-I9100
2012-03-18 00:29:35	2012-3-18 0:29:34	5	0	1	0	30	GT-I9100
2012-03-18 00:29:36	2012-3-18 0:29:35	6	0	1	0	31	GT-I9100
2012-03-18 00:29:36	2012-3-18 0:29:35	7	0	1	0	30	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:25	1	4	2	23	1	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:31	1	1	2	28	2	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:34	0	0	1	30	5	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:35	0	0	1	30	7	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:26	1	3	2	1	1	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:32	1	0	2	29	3	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:35	0	0	1	31	6	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:31	1	1	2	0	1	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:9	0	0	1	3	8	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:26	1	2	2	0	1	GT-I9100
2012-03-18 00:29:52	2012-3-18 0:29:33	1	0	1	30	4	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:25	1	4	2	23	1	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:31	1	1	2	28	2	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:35	0	0	1	31	6	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:26	1	2	2	0	1	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:31	1	1	2	0	1	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:26	1	3	2	1	1	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:34	0	0	1	30	5	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:35	0	0	1	30	7	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:33	1	0	1	30	4	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:9	0	0	1	3	8	GT-I9100
2012-03-18 00:30:05	2012-3-18 0:29:32	1	0	2	29	3	GT-I9100
2012-03-18 00:30:10	2012-3-18 0:29:26	1	3	2	1	1	GT-I9100
2012-03-18 00:30:10	2012-3-18 0:29:34	0	0	1	30	5	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:35	0	0	1	31	6	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:35	0	0	1	30	7	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:33	1	0	1	30	4	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:9	0	0	1	3	8	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:25	1	4	2	23	1	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:31	1	1	2	0	1	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:26	1	2	2	0	1	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:31	1	1	2	28	2	GT-I9100
2012-03-18 00:30:11	2012-3-18 0:29:32	1	0	2	29	3	GT-I9100
2012-03-18 00:31:25	2012-3-18 0:1:36	1	0	1	10	1	HTC Vision
2012-03-18 00:37:07	
2012-03-18 13:43:45	2012-3-18 12:43:38	1	0	1	1	36	sdk
2012-03-18 13:43:48	2012-3-18 12:43:41	2	0	1	1	31	sdk
2012-03-18 13:43:48	2012-3-18 12:43:41	3	0	1	1	28	sdk
2012-03-18 13:44:12	2012-3-18 12:44:5	4	0	1	1	51	sdk
2012-03-18 13:44:13	2012-3-18 12:44:6	2	0	1	2	22	sdk
2012-03-18 13:44:14	2012-3-18 12:44:7	1	0	1	0	1	sdk
2012-03-18 13:44:39	2012-3-17 22:17:40	0	0	2	1	1	sdk
2012-03-18 13:44:39	2012-3-17 22:17:16	0	0	1	0	3	sdk
2012-03-18 13:44:40	2012-3-17 22:19:49	1	0	2	9	1	sdk
2012-03-18 13:44:40	2012-3-17 22:19:37	0	0	1	2	1	sdk
2012-03-18 13:44:40	2012-3-17 22:20:5	0	0	1	1	2	sdk
2012-03-18 13:44:40	2012-3-17 22:20:3	0	0	1	0	2	sdk
2012-03-18 13:44:40	2012-3-17 22:20:5	1	0	2	2	1	sdk
2012-03-18 13:44:40	2012-3-17 22:21:54	1	1	2	5	4	sdk
2012-03-18 13:44:40	2012-3-17 22:21:54	0	1	1	6	3	sdk
2012-03-18 13:44:40	2012-3-17 22:21:55	1	0	0	7	2	sdk
2012-03-18 13:44:40	2012-3-17 22:28:37	0	0	1	2	1	sdk
2012-03-18 13:44:40	2012-3-17 22:21:55	0	0	0	12	1	sdk
2012-03-18 13:44:40	2012-3-17 22:29:25	0	0	1	5	1	sdk
2012-03-18 13:44:40	2012-3-17 22:35:59	0	0	1	1	1	sdk
2012-03-18 13:44:41	2012-3-18 12:43:38	0	1	1	36	1	sdk
2012-03-18 13:44:41	2012-3-18 12:43:41	0	1	1	31	2	sdk
2012-03-18 13:44:41	2012-3-18 12:44:5	0	1	1	51	4	sdk
2012-03-18 13:44:41	2012-3-18 12:43:41	0	1	1	28	3	sdk
2012-03-18 13:44:41	2012-3-18 12:44:6	0	2	1	22	2	sdk
2012-03-18 13:44:41	2012-3-18 12:44:7	0	0	1	1	1	sdk
2012-03-18 13:45:13	2012-3-17 22:19:37	0	0	1	2	1	sdk
2012-03-18 13:45:13	2012-3-17 22:17:16	0	0	1	0	3	sdk
2012-03-18 13:45:13	2012-3-17 22:19:49	1	0	2	9	1	sdk
2012-03-18 13:45:13	2012-3-17 22:17:40	0	0	2	1	1	sdk
2012-03-18 13:45:13	2012-3-17 22:20:3	0	0	1	0	2	sdk
2012-03-18 13:45:13	2012-3-17 22:20:5	1	0	2	2	1	sdk
2012-03-18 13:45:13	2012-3-17 22:20:5	0	0	1	1	2	sdk
2012-03-18 13:45:13	2012-3-17 22:21:54	1	1	2	5	4	sdk
2012-03-18 13:45:13	2012-3-17 22:21:54	0	1	1	6	3	sdk
2012-03-18 13:45:13	2012-3-17 22:21:55	1	0	0	7	2	sdk
2012-03-18 13:45:13	2012-3-17 22:21:55	0	0	0	12	1	sdk
2012-03-18 13:45:14	2012-3-17 22:29:25	0	0	1	5	1	sdk
2012-03-18 13:45:14	2012-3-17 22:28:37	0	0	1	2	1	sdk
2012-03-18 13:45:14	2012-3-18 12:43:38	0	1	1	36	1	sdk
2012-03-18 13:45:14	2012-3-17 22:35:59	0	0	1	1	1	sdk
2012-03-18 13:45:14	2012-3-18 12:43:41	0	1	1	31	2	sdk
2012-03-18 13:45:14	2012-3-18 12:43:41	0	1	1	28	3	sdk
2012-03-18 13:45:14	2012-3-18 12:44:5	0	1	1	51	4	sdk
2012-03-18 13:45:14	2012-3-18 12:44:6	0	2	1	22	2	sdk
2012-03-18 13:45:14	2012-3-18 12:44:7	0	0	1	1	1	sdk
2012-03-18 17:20:52	2012-3-18 15:45:16	1	1	0	37	146	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:40:23	1	5	1	88	146	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:59:41	0	3	0	36	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:51:18	1	2	1	157	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:38:54	0	3	1	33	146	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:59:4	1	3	0	95	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:41:34	1	4	0	65	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:54:41	1	2	0	56	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:59:4	1	1	0	52	147	HTC Vision
2012-03-18 17:20:52	2012-3-18 16:0:31	0	2	0	50	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:40:28	0	5	0	67	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:47:4	0	0	0	46	146	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:42:10	0	4	1	102	146	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:45:56	0	1	0	79	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:38:21	0	3	1	88	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:48:37	0	2	0	35	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:56:59	0	3	0	34	146	HTC Vision
2012-03-18 17:20:52	2012-3-18 0:1:36	1	0	1	10	1	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:39:16	0	4	0	26	145	HTC Vision
2012-03-18 17:20:52	2012-3-18 15:59:11	0	2	0	48	146	HTC Vision
2012-03-18 17:20:53	2012-3-18 15:42:56	0	3	1	44	146	HTC Vision
2012-03-18 17:20:53	2012-3-18 15:46:18	0	0	0	58	146	HTC Vision
2012-03-18 17:20:53	2012-3-18 15:52:20	0	2	0	57	145	HTC Vision
2012-03-18 17:20:53	2012-3-18 15:43:1	0	3	0	85	145	HTC Vision
2012-03-18 17:20:53	2012-3-18 15:44:35	1	2	0	93	145	HTC Vision
2012-03-18 17:20:53	2012-3-18 15:47:59	1	2	1	119	145	HTC Vision
2012-03-18 17:20:53	2012-3-18 16:21:22	1	2	0	134	169	HTC Vision
2012-03-18 17:20:53	2012-3-18 16:3:50	0	2	0	30	146	HTC Vision
2012-03-18 17:20:53	2012-3-18 16:11:51	1	2	0	260	147	HTC Vision
2012-03-18 17:20:53	2012-3-18 16:3:20	0	2	0	28	146	HTC Vision
2012-03-18 17:20:53	2012-3-18 16:14:44	0	3	0	59	147	HTC Vision
2012-03-18 17:20:53	2012-3-18 16:19:3	0	2	0	42	169	HTC Vision
2012-03-18 17:20:53	2012-3-18 16:3:13	0	3	0	55	145	HTC Vision
2012-03-18 17:20:54	2012-3-18 16:18:20	0	3	0	72	169	HTC Vision
2012-03-18 17:20:54	2012-3-18 16:2:49	0	3	0	35	146	HTC Vision
2012-03-18 17:20:55	2012-3-18 16:3:52	1	2	0	36	145	HTC Vision
2012-03-18 17:20:55	2012-3-18 16:17:4	0	4	0	68	169	HTC Vision
2012-03-18 17:20:55	2012-3-18 16:5:35	1	1	0	101	145	HTC Vision
2012-03-18 17:20:55	2012-3-18 15:53:28	0	1	0	64	145	HTC Vision
2012-03-18 17:20:55	2012-3-18 15:58:22	0	3	1	81	146	HTC Vision
2012-03-18 17:20:55	2012-3-18 16:8:9	0	2	0	49	145	HTC Vision
2012-03-18 17:20:55	2012-3-18 15:57:18	0	3	1	128	145	HTC Vision
2012-03-18 17:20:55	2012-3-18 16:1:47	1	4	2	69	145	HTC Vision
2012-03-18 17:20:55	2012-3-18 16:2:10	0	3	0	41	146	HTC Vision
2012-03-18 17:20:55	2012-3-18 16:12:51	0	2	0	55	147	HTC Vision
2012-03-18 17:20:55	2012-3-18 16:4:17	0	1	0	20	146	HTC Vision
2012-03-18 17:22:30	2012-3-18 16:5:35	1	1	0	101	145	HTC Vision
2012-03-18 17:22:30	2012-3-18 16:3:50	0	2	0	30	146	HTC Vision
2012-03-18 17:22:30	2012-3-18 16:3:13	0	3	0	55	145	HTC Vision
2012-03-18 17:22:30	2012-3-18 16:4:17	0	1	0	20	146	HTC Vision
2012-03-18 17:22:30	2012-3-18 16:3:52	1	2	0	36	145	HTC Vision
2012-03-18 17:22:30	2012-3-18 16:1:47	1	4	2	69	145	HTC Vision
2012-03-18 17:22:31	2012-3-18 16:2:49	0	3	0	35	146	HTC Vision
2012-03-18 17:22:31	2012-3-18 16:2:10	0	3	0	41	146	HTC Vision
2012-03-18 17:22:31	2012-3-18 16:3:20	0	2	0	28	146	HTC Vision
2012-03-18 17:22:36	2012-3-18 15:44:31	1	2	1	92	146	HTC Vision
2012-03-18 17:22:41	2012-3-18 16:18:20	0	3	0	72	169	HTC Vision
2012-03-18 17:22:41	2012-3-18 16:8:9	0	2	0	49	145	HTC Vision
2012-03-18 17:22:41	2012-3-18 16:19:3	0	2	0	42	169	HTC Vision
2012-03-18 17:22:41	2012-3-18 16:14:44	0	3	0	59	147	HTC Vision
2012-03-18 17:22:41	2012-3-18 16:17:4	0	4	0	68	169	HTC Vision
2012-03-18 17:22:41	2012-3-18 16:11:51	1	2	0	260	147	HTC Vision
2012-03-18 17:22:41	2012-3-18 16:21:22	1	2	0	134	169	HTC Vision
2012-03-18 17:22:41	2012-3-18 16:12:51	0	2	0	55	147	HTC Vision
2012-03-18 17:32:10	
2012-03-22 18:22:00	2012-3-22 18:21:58	3	0	0	0	17	GT-I9100
2012-03-22 18:22:15	2012-3-22 18:22:14	5	0	1	0	29	GT-I9100
2012-03-22 18:22:17	2012-3-22 18:22:16	4	0	1	0	30	GT-I9100
2012-03-22 18:22:29	2012-3-22 18:22:28	2	0	1	0	45	GT-I9100
2012-03-22 18:22:42	2012-3-22 18:22:41	5	0	0	0	18	GT-I9100
2012-03-22 18:22:48	2012-3-22 18:22:47	1	0	2	0	71	GT-I9100
